naics_code,industry_description,firm_size,number_of_firms
3255,"Paint, Coating, and Adhesive Manufacturing",20-99 employees,275
3255,"Paint, Coating, and Adhesive Manufacturing",100-499 employees,109
3255,"Paint, Coating, and Adhesive Manufacturing",500+ employees,84
32551,Paint and Coating Manufacturing,1-4 employees,323
32551,Paint and Coating Manufacturing,4-9 employees,175
32551,Paint and Coating Manufacturing,10-19 employees,147
32551,Paint and Coating Manufacturing,20-99 employees,202
32551,Paint and Coating Manufacturing,100-499 employees,70
32551,Paint and Coating Manufacturing,500+ employees,47
325510,Paint and Coating Manufacturing,1-4 employees,323
325510,Paint and Coating Manufacturing,4-9 employees,175
325510,Paint and Coating Manufacturing,10-19 employees,147
325510,Paint and Coating Manufacturing,20-99 employees,202
325510,Paint and Coating Manufacturing,100-499 employees,70
325510,Paint and Coating Manufacturing,500+ employees,47
32552,Adhesive Manufacturing,1-4 employees,97
32552,Adhesive Manufacturing,4-9 employees,57
32552,Adhesive Manufacturing,10-19 employees,61
32552,Adhesive Manufacturing,20-99 employees,74
32552,Adhesive Manufacturing,100-499 employees,43
32552,Adhesive Manufacturing,500+ employees,50
325520,Adhesive Manufacturing,1-4 employees,97
325520,Adhesive Manufacturing,4-9 employees,57
325520,Adhesive Manufacturing,10-19 employees,61
325520,Adhesive Manufacturing,20-99 employees,74
325520,Adhesive Manufacturing,100-499 employees,43
325520,Adhesive Manufacturing,500+ employees,50
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",1-4 employees,978
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",4-9 employees,386
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",10-19 employees,275
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",20-99 employees,377
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",100-499 employees,163
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",500+ employees,101
32561,Soap and Cleaning Compound Manufacturing,1-4 employees,520
32561,Soap and Cleaning Compound Manufacturing,4-9 employees,220
32561,Soap and Cleaning Compound Manufacturing,10-19 employees,150
32561,Soap and Cleaning Compound Manufacturing,20-99 employees,194
32561,Soap and Cleaning Compound Manufacturing,100-499 employees,83
32561,Soap and Cleaning Compound Manufacturing,500+ employees,72
325611,Soap and Other Detergent Manufacturing,1-4 employees,342
325611,Soap and Other Detergent Manufacturing,4-9 employees,126
325611,Soap and Other Detergent Manufacturing,10-19 employees,91
325611,Soap and Other Detergent Manufacturing,20-99 employees,102
325611,Soap and Other Detergent Manufacturing,100-499 employees,44
325611,Soap and Other Detergent Manufacturing,500+ employees,31
325612,Polish and Other Sanitation Good Manufacturing,1-4 employees,154
325612,Polish and Other Sanitation Good Manufacturing,4-9 employees,81
325612,Polish and Other Sanitation Good Manufacturing,10-19 employees,51
325612,Polish and Other Sanitation Good Manufacturing,20-99 employees,77
325612,Polish and Other Sanitation Good Manufacturing,100-499 employees,32
325612,Polish and Other Sanitation Good Manufacturing,500+ employees,33
325613,Surface Active Agent Manufacturing,1-4 employees,24
325613,Surface Active Agent Manufacturing,4-9 employees,13
325613,Surface Active Agent Manufacturing,10-19 employees,8
325613,Surface Active Agent Manufacturing,20-99 employees,18
325613,Surface Active Agent Manufacturing,100-499 employees,12
325613,Surface Active Agent Manufacturing,500+ employees,20
32562,Toilet Preparation Manufacturing,1-4 employees,458
32562,Toilet Preparation Manufacturing,4-9 employees,166
32562,Toilet Preparation Manufacturing,10-19 employees,125
32562,Toilet Preparation Manufacturing,20-99 employees,184
32562,Toilet Preparation Manufacturing,100-499 employees,81
32562,Toilet Preparation Manufacturing,500+ employees,43
325620,Toilet Preparation Manufacturing,1-4 employees,458
325620,Toilet Preparation Manufacturing,4-9 employees,166
325620,Toilet Preparation Manufacturing,10-19 employees,125
325620,Toilet Preparation Manufacturing,20-99 employees,184
325620,Toilet Preparation Manufacturing,100-499 employees,81
325620,Toilet Preparation Manufacturing,500+ employees,43
3259,Other Chemical Product and Preparation Manufacturing,1-4 employees,594
3259,Other Chemical Product and Preparation Manufacturing,4-9 employees,293
3259,Other Chemical Product and Preparation Manufacturing,10-19 employees,241
3259,Other Chemical Product and Preparation Manufacturing,20-99 employees,328
3259,Other Chemical Product and Preparation Manufacturing,100-499 employees,127
3259,Other Chemical Product and Preparation Manufacturing,500+ employees,164
32591,Printing Ink Manufacturing,1-4 employees,50
32591,Printing Ink Manufacturing,4-9 employees,30
32591,Printing Ink Manufacturing,10-19 employees,22
32591,Printing Ink Manufacturing,20-99 employees,30
32591,Printing Ink Manufacturing,100-499 employees,16
32591,Printing Ink Manufacturing,500+ employees,15
325910,Printing Ink Manufacturing,1-4 employees,50
325910,Printing Ink Manufacturing,4-9 employees,30
325910,Printing Ink Manufacturing,10-19 employees,22
325910,Printing Ink Manufacturing,20-99 employees,30
325910,Printing Ink Manufacturing,100-499 employees,16
325910,Printing Ink Manufacturing,500+ employees,15
32592,Explosives Manufacturing,1-4 employees,12
32592,Explosives Manufacturing,4-9 employees,4
32592,Explosives Manufacturing,10-19 employees,6
32592,Explosives Manufacturing,20-99 employees,12
32592,Explosives Manufacturing,100-499 employees,9
32592,Explosives Manufacturing,500+ employees,13
325920,Explosives Manufacturing,1-4 employees,12
325920,Explosives Manufacturing,4-9 employees,4
325920,Explosives Manufacturing,10-19 employees,6
325920,Explosives Manufacturing,20-99 employees,12
325920,Explosives Manufacturing,100-499 employees,9
325920,Explosives Manufacturing,500+ employees,13
32599,All Other Chemical Product and Preparation Manufacturing,1-4 employees,532
32599,All Other Chemical Product and Preparation Manufacturing,4-9 employees,259
32599,All Other Chemical Product and Preparation Manufacturing,10-19 employees,213
32599,All Other Chemical Product and Preparation Manufacturing,20-99 employees,286
32599,All Other Chemical Product and Preparation Manufacturing,100-499 employees,104
32599,All Other Chemical Product and Preparation Manufacturing,500+ employees,138
325991,Custom Compounding of Purchased Resins,1-4 employees,81
325991,Custom Compounding of Purchased Resins,4-9 employees,51
325991,Custom Compounding of Purchased Resins,10-19 employees,52
325991,Custom Compounding of Purchased Resins,20-99 employees,78
325991,Custom Compounding of Purchased Resins,100-499 employees,35
325991,Custom Compounding of Purchased Resins,500+ employees,43
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",1-4 employees,69
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",4-9 employees,22
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",10-19 employees,17
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",20-99 employees,18
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",100-499 employees,5
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",500+ employees,12
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,1-4 employees,382
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,4-9 employees,186
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,10-19 employees,144
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,20-99 employees,190
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,100-499 employees,65
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,500+ employees,95
326,Plastics and Rubber Products Manufacturing,1-4 employees,2027
326,Plastics and Rubber Products Manufacturing,4-9 employees,1218
326,Plastics and Rubber Products Manufacturing,10-19 employees,1305
326,Plastics and Rubber Products Manufacturing,20-99 employees,2327
326,Plastics and Rubber Products Manufacturing,100-499 employees,1075
326,Plastics and Rubber Products Manufacturing,500+ employees,577
3261,Plastics Product Manufacturing,1-4 employees,1686
3261,Plastics Product Manufacturing,4-9 employees,1032
3261,Plastics Product Manufacturing,10-19 employees,1127
3261,Plastics Product Manufacturing,20-99 employees,2023
3261,Plastics Product Manufacturing,100-499 employees,914
3261,Plastics Product Manufacturing,500+ employees,493
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,1-4 employees,186
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,4-9 employees,109
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,10-19 employees,122
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,20-99 employees,250
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,100-499 employees,127
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,500+ employees,93
326111,Plastics Bag and Pouch Manufacturing,1-4 employees,52
326111,Plastics Bag and Pouch Manufacturing,4-9 employees,32
326111,Plastics Bag and Pouch Manufacturing,10-19 employees,39
326111,Plastics Bag and Pouch Manufacturing,20-99 employees,79
326111,Plastics Bag and Pouch Manufacturing,100-499 employees,32
326111,Plastics Bag and Pouch Manufacturing,500+ employees,36
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,1-4 employees,63
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,4-9 employees,30
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,10-19 employees,34
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,20-99 employees,98
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,100-499 employees,50
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,500+ employees,43
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,1-4 employees,71
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,4-9 employees,47
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,10-19 employees,49
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,20-99 employees,75
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,100-499 employees,55
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,500+ employees,51
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",1-4 employees,109
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",4-9 employees,74
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",10-19 employees,75
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",20-99 employees,153
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",100-499 employees,69
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",500+ employees,66
326121,Unlaminated Plastics Profile Shape Manufacturing,1-4 employees,61
326121,Unlaminated Plastics Profile Shape Manufacturing,4-9 employees,38
326121,Unlaminated Plastics Profile Shape Manufacturing,10-19 employees,39
326121,Unlaminated Plastics Profile Shape Manufacturing,20-99 employees,85
326121,Unlaminated Plastics Profile Shape Manufacturing,100-499 employees,37
326121,Unlaminated Plastics Profile Shape Manufacturing,500+ employees,34
326122,Plastics Pipe and Pipe Fitting Manufacturing,1-4 employees,48
326122,Plastics Pipe and Pipe Fitting Manufacturing,4-9 employees,36
326122,Plastics Pipe and Pipe Fitting Manufacturing,10-19 employees,36
326122,Plastics Pipe and Pipe Fitting Manufacturing,20-99 employees,68
326122,Plastics Pipe and Pipe Fitting Manufacturing,100-499 employees,33
326122,Plastics Pipe and Pipe Fitting Manufacturing,500+ employees,33
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1-4 employees,48
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",4-9 employees,33
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",10-19 employees,28
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",20-99 employees,44
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",100-499 employees,22
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",500+ employees,30
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1-4 employees,48
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",4-9 employees,33
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",10-19 employees,28
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",20-99 employees,44
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",100-499 employees,22
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",500+ employees,30
32614,Polystyrene Foam Product Manufacturing,1-4 employees,58
32614,Polystyrene Foam Product Manufacturing,4-9 employees,45
32614,Polystyrene Foam Product Manufacturing,10-19 employees,46
32614,Polystyrene Foam Product Manufacturing,20-99 employees,80
32614,Polystyrene Foam Product Manufacturing,100-499 employees,35
32614,Polystyrene Foam Product Manufacturing,500+ employees,34
326140,Polystyrene Foam Product Manufacturing,1-4 employees,58
326140,Polystyrene Foam Product Manufacturing,4-9 employees,45
326140,Polystyrene Foam Product Manufacturing,10-19 employees,46
326140,Polystyrene Foam Product Manufacturing,20-99 employees,80
326140,Polystyrene Foam Product Manufacturing,100-499 employees,35
326140,Polystyrene Foam Product Manufacturing,500+ employees,34
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1-4 employees,85
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,4-9 employees,66
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,10-19 employees,63
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,20-99 employees,132
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,100-499 employees,56
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,500+ employees,52
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1-4 employees,85
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,4-9 employees,66
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,10-19 employees,63
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,20-99 employees,132
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,100-499 employees,56
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,500+ employees,52
32616,Plastics Bottle Manufacturing,1-4 employees,34
32616,Plastics Bottle Manufacturing,4-9 employees,21
32616,Plastics Bottle Manufacturing,10-19 employees,14
32616,Plastics Bottle Manufacturing,20-99 employees,67
32616,Plastics Bottle Manufacturing,100-499 employees,35
32616,Plastics Bottle Manufacturing,500+ employees,24
326160,Plastics Bottle Manufacturing,1-4 employees,34
326160,Plastics Bottle Manufacturing,4-9 employees,21
326160,Plastics Bottle Manufacturing,10-19 employees,14
326160,Plastics Bottle Manufacturing,20-99 employees,67
326160,Plastics Bottle Manufacturing,100-499 employees,35
326160,Plastics Bottle Manufacturing,500+ employees,24
32619,Other Plastics Product Manufacturing,1-4 employees,1166
32619,Other Plastics Product Manufacturing,4-9 employees,685
32619,Other Plastics Product Manufacturing,10-19 employees,779
32619,Other Plastics Product Manufacturing,20-99 employees,1309
32619,Other Plastics Product Manufacturing,100-499 employees,615
32619,Other Plastics Product Manufacturing,500+ employees,354
326191,Plastics Plumbing Fixture Manufacturing,1-4 employees,63
326191,Plastics Plumbing Fixture Manufacturing,4-9 employees,42
326191,Plastics Plumbing Fixture Manufacturing,10-19 employees,44
326191,Plastics Plumbing Fixture Manufacturing,20-99 employees,76
326191,Plastics Plumbing Fixture Manufacturing,100-499 employees,33
326191,Plastics Plumbing Fixture Manufacturing,500+ employees,17
326199,All Other Plastics Product Manufacturing,1-4 employees,1103
326199,All Other Plastics Product Manufacturing,4-9 employees,643
326199,All Other Plastics Product Manufacturing,10-19 employees,735
326199,All Other Plastics Product Manufacturing,20-99 employees,1234
326199,All Other Plastics Product Manufacturing,100-499 employees,585
326199,All Other Plastics Product Manufacturing,500+ employees,339
3262,Rubber Product Manufacturing,1-4 employees,341
3262,Rubber Product Manufacturing,4-9 employees,186
3262,Rubber Product Manufacturing,10-19 employees,178
3262,Rubber Product Manufacturing,20-99 employees,309
3262,Rubber Product Manufacturing,100-499 employees,178
3262,Rubber Product Manufacturing,500+ employees,123
32621,Tire Manufacturing,1-4 employees,97
32621,Tire Manufacturing,4-9 employees,45
32621,Tire Manufacturing,10-19 employees,30
32621,Tire Manufacturing,20-99 employees,55
32621,Tire Manufacturing,100-499 employees,42
32621,Tire Manufacturing,500+ employees,32
326211,Tire Manufacturing (except Retreading),1-4 employees,22
326211,Tire Manufacturing (except Retreading),4-9 employees,7
326211,Tire Manufacturing (except Retreading),10-19 employees,3
326211,Tire Manufacturing (except Retreading),20-99 employees,11
326211,Tire Manufacturing (except Retreading),100-499 employees,14
326211,Tire Manufacturing (except Retreading),500+ employees,19
326212,Tire Retreading,1-4 employees,75
326212,Tire Retreading,4-9 employees,38
326212,Tire Retreading,10-19 employees,27
326212,Tire Retreading,20-99 employees,44
326212,Tire Retreading,100-499 employees,28
326212,Tire Retreading,500+ employees,19
32622,Rubber and Plastics Hoses and Belting Manufacturing,1-4 employees,51
32622,Rubber and Plastics Hoses and Belting Manufacturing,4-9 employees,22
32622,Rubber and Plastics Hoses and Belting Manufacturing,10-19 employees,26
32622,Rubber and Plastics Hoses and Belting Manufacturing,20-99 employees,39
32622,Rubber and Plastics Hoses and Belting Manufacturing,100-499 employees,30
32622,Rubber and Plastics Hoses and Belting Manufacturing,500+ employees,22
326220,Rubber and Plastics Hoses and Belting Manufacturing,1-4 employees,51
326220,Rubber and Plastics Hoses and Belting Manufacturing,4-9 employees,22
326220,Rubber and Plastics Hoses and Belting Manufacturing,10-19 employees,26
326220,Rubber and Plastics Hoses and Belting Manufacturing,20-99 employees,39
326220,Rubber and Plastics Hoses and Belting Manufacturing,100-499 employees,30
326220,Rubber and Plastics Hoses and Belting Manufacturing,500+ employees,22
32629,Other Rubber Product Manufacturing,1-4 employees,193
32629,Other Rubber Product Manufacturing,4-9 employees,119
32629,Other Rubber Product Manufacturing,10-19 employees,122
32629,Other Rubber Product Manufacturing,20-99 employees,218
32629,Other Rubber Product Manufacturing,100-499 employees,109
32629,Other Rubber Product Manufacturing,500+ employees,82
326291,Rubber Product Manufacturing for Mechanical Use,1-4 employees,52
326291,Rubber Product Manufacturing for Mechanical Use,4-9 employees,43
326291,Rubber Product Manufacturing for Mechanical Use,10-19 employees,51
326291,Rubber Product Manufacturing for Mechanical Use,20-99 employees,90
326291,Rubber Product Manufacturing for Mechanical Use,100-499 employees,41
326291,Rubber Product Manufacturing for Mechanical Use,500+ employees,31
326299,All Other Rubber Product Manufacturing,1-4 employees,141
326299,All Other Rubber Product Manufacturing,4-9 employees,76
326299,All Other Rubber Product Manufacturing,10-19 employees,71
326299,All Other Rubber Product Manufacturing,20-99 employees,130
326299,All Other Rubber Product Manufacturing,100-499 employees,70
326299,All Other Rubber Product Manufacturing,500+ employees,63
327,Nonmetallic Mineral Product Manufacturing,1-4 employees,2950
327,Nonmetallic Mineral Product Manufacturing,4-9 employees,1609
327,Nonmetallic Mineral Product Manufacturing,10-19 employees,1512
327,Nonmetallic Mineral Product Manufacturing,20-99 employees,1948
327,Nonmetallic Mineral Product Manufacturing,100-499 employees,509
327,Nonmetallic Mineral Product Manufacturing,500+ employees,258
3271,Clay Product and Refractory Manufacturing,1-4 employees,396
3271,Clay Product and Refractory Manufacturing,4-9 employees,140
3271,Clay Product and Refractory Manufacturing,10-19 employees,84
3271,Clay Product and Refractory Manufacturing,20-99 employees,139
3271,Clay Product and Refractory Manufacturing,100-499 employees,63
3271,Clay Product and Refractory Manufacturing,500+ employees,40
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",1-4 employees,314
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",4-9 employees,89
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",10-19 employees,53
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",20-99 employees,52
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",100-499 employees,18
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",500+ employees,13
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",1-4 employees,314
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",4-9 employees,89
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",10-19 employees,53
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",20-99 employees,52
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",100-499 employees,18
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",500+ employees,13
32712,Clay Building Material and Refractories Manufacturing,1-4 employees,82
32712,Clay Building Material and Refractories Manufacturing,4-9 employees,51
32712,Clay Building Material and Refractories Manufacturing,10-19 employees,31
32712,Clay Building Material and Refractories Manufacturing,20-99 employees,87
32712,Clay Building Material and Refractories Manufacturing,100-499 employees,46
32712,Clay Building Material and Refractories Manufacturing,500+ employees,29
327120,Clay Building Material and Refractories Manufacturing,1-4 employees,82
327120,Clay Building Material and Refractories Manufacturing,4-9 employees,51
327120,Clay Building Material and Refractories Manufacturing,10-19 employees,31
327120,Clay Building Material and Refractories Manufacturing,20-99 employees,87
327120,Clay Building Material and Refractories Manufacturing,100-499 employees,46
327120,Clay Building Material and Refractories Manufacturing,500+ employees,29
3272,Glass and Glass Product Manufacturing,1-4 employees,647
3272,Glass and Glass Product Manufacturing,4-9 employees,189
3272,Glass and Glass Product Manufacturing,10-19 employees,140
3272,Glass and Glass Product Manufacturing,20-99 employees,191
3272,Glass and Glass Product Manufacturing,100-499 employees,76
3272,Glass and Glass Product Manufacturing,500+ employees,66
32721,Glass and Glass Product Manufacturing,1-4 employees,647
32721,Glass and Glass Product Manufacturing,4-9 employees,189
32721,Glass and Glass Product Manufacturing,10-19 employees,140
32721,Glass and Glass Product Manufacturing,20-99 employees,191
32721,Glass and Glass Product Manufacturing,100-499 employees,76
32721,Glass and Glass Product Manufacturing,500+ employees,66
327211,Flat Glass Manufacturing,1-4 employees,40
327211,Flat Glass Manufacturing,4-9 employees,6
327211,Flat Glass Manufacturing,10-19 employees,8
327211,Flat Glass Manufacturing,20-99 employees,19
327211,Flat Glass Manufacturing,100-499 employees,11
327211,Flat Glass Manufacturing,500+ employees,10
327212,Other Pressed and Blown Glass and Glassware Manufacturing,1-4 employees,212
327212,Other Pressed and Blown Glass and Glassware Manufacturing,4-9 employees,56
327212,Other Pressed and Blown Glass and Glassware Manufacturing,10-19 employees,32
327212,Other Pressed and Blown Glass and Glassware Manufacturing,20-99 employees,41
327212,Other Pressed and Blown Glass and Glassware Manufacturing,100-499 employees,11
327212,Other Pressed and Blown Glass and Glassware Manufacturing,500+ employees,22
327213,Glass Container Manufacturing,1-4 employees,14
327213,Glass Container Manufacturing,4-9 employees,5
327213,Glass Container Manufacturing,10-19 employees,3
327213,Glass Container Manufacturing,20-99 employees,7
327213,Glass Container Manufacturing,100-499 employees,6
327213,Glass Container Manufacturing,500+ employees,10
327215,Glass Product Manufacturing Made of Purchased Glass,1-4 employees,381
327215,Glass Product Manufacturing Made of Purchased Glass,4-9 employees,122
327215,Glass Product Manufacturing Made of Purchased Glass,10-19 employees,98
327215,Glass Product Manufacturing Made of Purchased Glass,20-99 employees,125
327215,Glass Product Manufacturing Made of Purchased Glass,100-499 employees,54
327215,Glass Product Manufacturing Made of Purchased Glass,500+ employees,43
3273,Cement and Concrete Product Manufacturing,1-4 employees,956
3273,Cement and Concrete Product Manufacturing,4-9 employees,677
3273,Cement and Concrete Product Manufacturing,10-19 employees,762
3273,Cement and Concrete Product Manufacturing,20-99 employees,1074
3273,Cement and Concrete Product Manufacturing,100-499 employees,267
3273,Cement and Concrete Product Manufacturing,500+ employees,116
32731,Cement Manufacturing,1-4 employees,28
32731,Cement Manufacturing,4-9 employees,9
32731,Cement Manufacturing,10-19 employees,11
32731,Cement Manufacturing,20-99 employees,11
32731,Cement Manufacturing,100-499 employees,13
32731,Cement Manufacturing,500+ employees,18
327310,Cement Manufacturing,1-4 employees,28
327310,Cement Manufacturing,4-9 employees,9
327310,Cement Manufacturing,10-19 employees,11
327310,Cement Manufacturing,20-99 employees,11
327310,Cement Manufacturing,100-499 employees,13
327310,Cement Manufacturing,500+ employees,18
32732,Ready-Mix Concrete Manufacturing,1-4 employees,450
32732,Ready-Mix Concrete Manufacturing,4-9 employees,329
32732,Ready-Mix Concrete Manufacturing,10-19 employees,414
32732,Ready-Mix Concrete Manufacturing,20-99 employees,572
32732,Ready-Mix Concrete Manufacturing,100-499 employees,151
32732,Ready-Mix Concrete Manufacturing,500+ employees,62
327320,Ready-Mix Concrete Manufacturing,1-4 employees,450
327320,Ready-Mix Concrete Manufacturing,4-9 employees,329
327320,Ready-Mix Concrete Manufacturing,10-19 employees,414
327320,Ready-Mix Concrete Manufacturing,20-99 employees,572
327320,Ready-Mix Concrete Manufacturing,100-499 employees,151
327320,Ready-Mix Concrete Manufacturing,500+ employees,62
32733,"Concrete Pipe, Brick, and Block Manufacturing",1-4 employees,97
32733,"Concrete Pipe, Brick, and Block Manufacturing",4-9 employees,72
32733,"Concrete Pipe, Brick, and Block Manufacturing",10-19 employees,78
32733,"Concrete Pipe, Brick, and Block Manufacturing",20-99 employees,126
32733,"Concrete Pipe, Brick, and Block Manufacturing",100-499 employees,48
32733,"Concrete Pipe, Brick, and Block Manufacturing",500+ employees,35
327331,Concrete Block and Brick Manufacturing,1-4 employees,77
327331,Concrete Block and Brick Manufacturing,4-9 employees,59
327331,Concrete Block and Brick Manufacturing,10-19 employees,71
327331,Concrete Block and Brick Manufacturing,20-99 employees,104
327331,Concrete Block and Brick Manufacturing,100-499 employees,41
327331,Concrete Block and Brick Manufacturing,500+ employees,28
327332,Concrete Pipe Manufacturing,1-4 employees,20
327332,Concrete Pipe Manufacturing,4-9 employees,13
327332,Concrete Pipe Manufacturing,10-19 employees,7
327332,Concrete Pipe Manufacturing,20-99 employees,22
327332,Concrete Pipe Manufacturing,100-499 employees,8
327332,Concrete Pipe Manufacturing,500+ employees,10
32739,Other Concrete Product Manufacturing,1-4 employees,381
32739,Other Concrete Product Manufacturing,4-9 employees,267
32739,Other Concrete Product Manufacturing,10-19 employees,260
32739,Other Concrete Product Manufacturing,20-99 employees,393
32739,Other Concrete Product Manufacturing,100-499 employees,100
32739,Other Concrete Product Manufacturing,500+ employees,61
327390,Other Concrete Product Manufacturing,1-4 employees,381
327390,Other Concrete Product Manufacturing,4-9 employees,267
327390,Other Concrete Product Manufacturing,10-19 employees,260
327390,Other Concrete Product Manufacturing,20-99 employees,393
327390,Other Concrete Product Manufacturing,100-499 employees,100
327390,Other Concrete Product Manufacturing,500+ employees,61
3274,Lime and Gypsum Product Manufacturing,1-4 employees,53
3274,Lime and Gypsum Product Manufacturing,4-9 employees,17
3274,Lime and Gypsum Product Manufacturing,10-19 employees,17
3274,Lime and Gypsum Product Manufacturing,20-99 employees,22
3274,Lime and Gypsum Product Manufacturing,100-499 employees,6
3274,Lime and Gypsum Product Manufacturing,500+ employees,19
32741,Lime Manufacturing,1-4 employees,10
32741,Lime Manufacturing,10-19 employees,3
32741,Lime Manufacturing,20-99 employees,4
32741,Lime Manufacturing,100-499 employees,4
32741,Lime Manufacturing,500+ employees,11
327410,Lime Manufacturing,1-4 employees,10
327410,Lime Manufacturing,10-19 employees,3
327410,Lime Manufacturing,20-99 employees,4
327410,Lime Manufacturing,100-499 employees,4
327410,Lime Manufacturing,500+ employees,11
32742,Gypsum Product Manufacturing,1-4 employees,43
32742,Gypsum Product Manufacturing,4-9 employees,16
32742,Gypsum Product Manufacturing,10-19 employees,14
32742,Gypsum Product Manufacturing,20-99 employees,18
32742,Gypsum Product Manufacturing,500+ employees,8
327420,Gypsum Product Manufacturing,1-4 employees,43
327420,Gypsum Product Manufacturing,4-9 employees,16
327420,Gypsum Product Manufacturing,10-19 employees,14
327420,Gypsum Product Manufacturing,20-99 employees,18
327420,Gypsum Product Manufacturing,500+ employees,8
